"","ID","NAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17404","AT5G39340","AHP3",-2.19704006473463,22.7097813280916,-0.879292843069003,0.409418287913595,0.48095409247616,-5.29932896338546
"19354","AT5G64200","At-SC35",-1.43114141901551,40.0503327879282,-0.879188069206894,0.40947122033931,0.48098320072443,-5.2994116516789
"3852","AT1G64570","DUO3",1.68686932575977,45.6621528137264,0.878956217898157,0.409588370960905,0.481063599498289,-5.29959460350369
"16569","AT5G19680",NA,-1.21386310446171,23.9127984208158,-0.878997713486849,0.409567402120836,0.481063599498289,-5.29956186242432
"698","AT1G09150",NA,1.9504579345981,40.3825369978455,0.878616349047807,0.409760145511595,0.481236736886804,-5.29986272400118
"3555","AT1G60460","MTOPVIB",0.20797420342519,1.56632026865653,0.877906286548337,0.410119191765866,0.481558313884584,-5.30042263082144
"13165","AT4G17330","ATG2484-1",-5.22379273310539,199.40655620946,-0.877882011303437,0.410131470729687,0.481558313884584,-5.30044176647005
"13875","AT4G26510","UCK4",2.0660975461697,32.3071977738883,0.878004966152569,0.410069280182769,0.481558313884584,-5.30034483964305
"17045","AT5G26280",NA,15.451557707828,416.128085660057,0.877970985950135,0.410086466673077,0.481558313884584,-5.3003716277002
"6324","AT2G25520",NA,8.09799875232364,182.255411951698,0.87754135257507,0.41030381200482,0.481732035800489,-5.30071025743021
"13858","AT4G26270","PFK3",-0.401038007186214,5.83053866124092,-0.877381122459966,0.410384891734516,0.481769962044549,-5.30083651545072
"15036","AT4G40040","H3.3",-17.2321716517431,414.388528197943,-0.877393386084052,0.410378685673642,0.481769962044549,-5.30082685259498
"4637","AT1G74470","CHLP",1127.61207943619,2409.12674741132,0.877120118811702,0.410516990096257,0.481867765307592,-5.30104214296106
"9500","AT3G16610","PCMP-E91",-0.106573915890016,0.78710153401112,-0.877150467343466,0.410501628589379,0.481867765307592,-5.30101823577826
"13660","AT4G23930",NA,0.180416923490226,2.32288110390326,0.876615720758148,0.410772362812857,0.482138874331858,-5.30143939144734
"7019","AT2G34670",NA,-0.379904839688578,7.92547743688687,-0.875903094085605,0.411133358447447,0.482533849670759,-5.30200033467214
"19123","AT5G61360",NA,-0.168160006190712,1.12225413157979,-0.87585500379957,0.41115772793653,0.482533849670759,-5.30203817623396
"11510","AT3G56620","UMAMIT10",0.453095659019372,4.48403849200272,0.875776565321074,0.411197478476621,0.48255183210522,-5.30209989492424
"5154","AT1G80670","RAE1",-1.27081713982001,27.3504965362128,-0.875497141972695,0.411339105694905,0.482689360454863,-5.30231972236769
"6651","AT2G29720","CTF2B",-0.274529364733317,4.4265917477647,-0.875037906919736,0.411571949046687,0.482933904453119,-5.30268089360076
"3716","AT1G62740","Hop2",-5.49635123472312,72.8075971020638,-0.874492198698599,0.411848761869061,0.483230009619947,-5.30310988295348
"7391","AT2G39050","ArathEULS3",-4.17382736146121,34.2805160417762,-0.874325931165502,0.411933128867868,0.483248887993218,-5.30324054735102
"9494","AT3G16510",NA,-0.478491472265861,4.67374846225267,-0.874315855937707,0.411938241617789,0.483248887993218,-5.30324846453876
"13942","AT4G27250",NA,-0.124850861909378,0.578127222897179,-0.87432787641301,0.411932141742778,0.483248887993218,-5.3032390187532
"18531","AT5G53895",NA,0.0954818387376316,0.333646572240039,0.873696649002315,0.412252551970184,0.483588890238658,-5.30373490691594
"16380","AT5G17580",NA,0.21231393889418,3.96514471338109,0.873138475059856,0.412536032239881,0.483892689321691,-5.30417317471674
"8568","AT3G05670",NA,4.78076315494917,65.0104854615304,0.872550586635808,0.412834757773469,0.48421433351485,-5.30463454020575
"18131","AT5G48580","FKBP15-2",3.13000584666709,70.9952659762213,0.872149085273815,0.41303886476419,0.484424967912593,-5.3049494943181
"2708","AT1G44820",NA,-2.31688526442421,40.7592337568064,-0.871428150495923,0.413405543864388,0.48482623566238,-5.30551474429152
"2692","AT1G44125",NA,-0.602688757823494,5.53061045396177,-0.870726815720452,0.41376248229008,0.485216032956856,-5.30606428054183
"6886","AT2G32920","ATPDI9",-3.67059773169402,55.3919353050263,-0.870602596184527,0.413825726237492,0.485249510665439,-5.30616157809344
"19147","AT5G61610",NA,0.110619998279683,0.360818005099266,0.870574249733564,0.413840159268029,0.485249510665439,-5.30618377954196
"6666","AT2G30000",NA,0.3550124918657,3.88689046784886,0.870315487029431,0.413971929266468,0.485375207189566,-5.30638642131566
"14228","AT4G30760",NA,1.25456855202433,26.5030248894288,0.870206055930376,0.414027664195546,0.485384558110351,-5.30647210479516
"15690","AT5G08535",NA,-0.327891678964051,7.19340229590663,-0.870203340074408,0.414029047492124,0.485384558110351,-5.30647423117795
"652","AT1G08600","ATRX",1.92305022706749,50.1301657743487,0.870102247870408,0.414080540289116,0.485416117314771,-5.30655337779655
"13443","AT4G21192",NA,-0.587977007056084,5.97937352383567,-0.870029189936405,0.414117756330158,0.485430937487891,-5.30661057153793
"17158","AT5G28220",NA,-1.47403295459767,15.0383521216503,-0.869364624132696,0.414456401291544,0.485799071448001,-5.30713065952041
"2426","AT1G31885","NIP3;1",0.0975571041976221,0.849462852328707,0.869246966304251,0.414516377629323,0.485840543710077,-5.30722270631576
"2774","AT1G47578","LIP2p2",0.234313239662016,1.84997088074987,0.868909173161024,0.414688603625481,0.486013567251127,-5.30748691720356
"5455","AT2G05540",NA,-18.3080206801857,323.026023536605,-0.868655453197475,0.414817998706053,0.486136375560001,-5.30768531654609
"4738","AT1G75760",NA,-2.05546430141737,23.9208645778815,-0.868416017814356,0.414940135781369,0.486250663951187,-5.30787250479613
"1802","AT1G22520",NA,0.82991728602823,10.4328186837576,0.868279764246503,0.415009651054816,0.486303277194023,-5.30797900868959
"17615","AT5G42320",NA,-1.41288341410287,29.2392987782202,-0.867427025651841,0.415444903097204,0.486784424686053,-5.30864526622831
"1379","AT1G17040","ATSHA",-0.498194323933731,6.60398864270702,-0.867212098603732,0.415554657951433,0.486884146688767,-5.30881311204219
"9032","AT3G11420",NA,2.44052647459033,37.4019769841601,0.866988652435953,0.415668785595076,0.486988979932692,-5.30898757667076
"13215","AT4G17905","ATL4H",0.191603148564004,1.23751327751659,0.866434270475883,0.415952041060087,0.48729193566012,-5.30942028248845
"2146","AT1G28010","ABCB14",1.36761342125293,26.0266107658315,0.866315394924102,0.416012797545335,0.487334211155225,-5.30951303924568
"16810","AT5G23290","PFD5",-0.88046063930307,15.3786529990994,-0.865280372918968,0.416542063445193,0.487925279963019,-5.31032023431364
"514","AT1G07030","MIT2",-1.53943594391614,22.9979903557652,-0.865143393951906,0.416612145342073,0.487978435759698,-5.31042700572625
"8857","AT3G09240","BSK9",0.175575827183629,2.3435973940944,0.864872265896465,0.416750886608876,0.488094376482884,-5.31063830410814
"19538","AT5G66130","ATRAD17",0.305932672469673,2.52331246262882,0.864853389749076,0.416760547136621,0.488094376482884,-5.3106530129555
"98","AT1G02145","ALG12",-1.08270112072183,14.8909528771241,-0.863360966072821,0.417524863001935,0.488960525476655,-5.3118151653005
"3643","AT1G61730",NA,1.50461453390933,31.1845549040591,0.863248664152104,0.417582417475581,0.488989965546592,-5.31190255197373
"12248","AT4G02360",NA,0.119066509161336,1.24241004566242,0.86321531507645,0.417599509910448,0.488989965546592,-5.31192850054183
"929","AT1G11760","MED2",-0.5597363530395,8.91445586363179,-0.862851424190796,0.417786048330736,0.489156807677674,-5.31221158969369
"17837","AT5G44820",NA,0.463243373107446,2.84011297913912,0.862840754744578,0.41779151863611,0.489156807677674,-5.31221988859857
"2289","AT1G30070",NA,0.449826185832772,7.49595585415192,0.862593324620708,0.417918392529586,0.489189376986813,-5.31241232226956
"11600","AT3G57785",NA,1.17695127036253,15.818330090559,0.862604828947917,0.417912492874498,0.489189376986813,-5.31240337596611
"12661","AT4G11380","BETAB-AD",2.59886339671896,93.2601790143667,0.862635843743802,0.417896588152297,0.489189376986813,-5.3123792569474
"13525","AT4G22140","EBS",1.30806829942586,21.7348140301873,0.862649466271439,0.417889602512122,0.489189376986813,-5.31236866301674
"18184","AT5G49170",NA,0.537396218723685,5.7016926462366,0.862032321116499,0.418206160100705,0.489497214352629,-5.3128484724692
"198","AT1G03365","RF4",-1.30024928820624,26.2211594292999,-0.86157759396504,0.418439518702008,0.489741335018335,-5.31320183681837
"16813","AT5G23320","ATICMTA",-0.164239974832977,0.884405384037422,-0.861519393157756,0.418469393240502,0.489747283255695,-5.31324705368559
"8732","AT3G07430","ATYLMG1-1",3.92722594868456,51.0306531104003,0.860834289430819,0.418821174208418,0.490129945219969,-5.31377914017167
"17011","AT5G25760","PEX4",-1.52224128729244,22.7058419530162,-0.860712687269446,0.418883635840498,0.490174002866725,-5.31387354824183
"1280","AT1G15860",NA,2.4905354543259,29.0102103208678,0.860117239968424,0.419189588335269,0.490502969314945,-5.31433568503548
"4545","AT1G73430","COG3",3.12654197740603,46.1241927088466,0.85963988195121,0.41943498136259,0.490761039023669,-5.31470599117018
"18126","AT5G48530",NA,0.638387110785226,5.65022014692429,0.858788807615513,0.419872747414476,0.491244151411132,-5.31536580771223
"590","AT1G07920","ELONGATION",4.92189868849926,49.1666667310143,0.858587037024873,0.419976580484733,0.491336533662743,-5.31552216082353
"16947","AT5G24840","AtTRM8a",0.615440943424529,8.25239871652927,0.858493290886187,0.420024829477201,0.491363880225786,-5.3155947954823
"7673","AT2G42290",NA,-0.856480409435371,11.0006838956097,-0.858349901596484,0.420098636439459,0.491421120638662,-5.315705881795
"15436","AT5G05540","SDN2",-0.736590736913536,13.8284199774949,-0.858113608809601,0.42022028426056,0.491534314026712,-5.31588891064513
"16723","AT5G22120",NA,-1.14398470018697,19.4779035484743,-0.857220761297173,0.420680168929065,0.492043108356015,-5.31658014277808
"18423","AT5G52330",NA,0.462502167214763,3.9197133709108,0.857051487693015,0.420767398878111,0.492115997480059,-5.31671112924489
"2430","AT1G31935",NA,0.854849549682052,9.50943892984312,0.856349956529042,0.421129051092864,0.492509814415276,-5.31725376983789
"15997","AT5G13020","AtEML3",2.97963739364049,74.3330430621147,0.856238446322678,0.421186557385844,0.492547907565709,-5.31733999208715
"3691","AT1G62370",NA,-0.429559957478563,7.05851289902492,-0.856151198297769,0.421231555532752,0.492571369679393,-5.31740744816053
"15957","AT5G12190",NA,-0.963080488496403,14.5051075751973,-0.855935208260243,0.421342967316567,0.492672485874954,-5.31757441846452
"3088","AT1G52260","ATPDI3",-1.27632281566391,9.48326204812854,-0.855377247614481,0.421630872807842,0.492952134362136,-5.31800559591406
"10822","AT3G48250","BIR6",0.379566869818776,3.12278169245486,0.855374991648661,0.421632037166278,0.492952134362136,-5.31800733882079
"7630","AT2G41770","STL1",2.44320758646533,42.6159693566457,0.854850554434227,0.421902775032896,0.49323947552819,-5.31841240955559
"17319","AT5G37690",NA,0.108268754718849,0.302741635429027,0.854434582112913,0.422117607928377,0.493461428986695,-5.31873356517192
"2944","AT1G50000",NA,0.358568992887519,3.74629899170727,0.853637455503177,0.422529512701061,0.493884496680281,-5.31934865403486
"18569","AT5G54380","THE1",11.5351451719807,168.112718665153,0.853641025830251,0.422527667133373,0.493884496680281,-5.31934590005292
"8852","AT3G09190",NA,-0.147072596998477,1.89269162410357,-0.853532822730274,0.422583601892959,0.493918494278061,-5.31942935882979
"2925","AT1G49740",NA,-1.23736408922557,20.4031847240913,-0.853011073820536,0.422853391118527,0.494204584555401,-5.31983167617325
"16612","AT5G20120",NA,-1.19421695839817,12.8035764904778,-0.852930099327153,0.422895273079458,0.494224292990097,-5.31989409788675
"2601","AT1G35190",NA,1.53631073418313,34.1772269282199,0.852436313435004,0.423150735934912,0.494428168316102,-5.32027464800002
"6852","AT2G32450",NA,2.83214564052366,49.423323777818,0.852471571878461,0.423132491088707,0.494428168316102,-5.32024748078515
"9169","AT3G13030",NA,1.61731170968273,20.9545441544806,0.852399393527762,0.42316984113194,0.494428168316102,-5.32030309445971
"15733","AT5G09430",NA,0.12253778403646,1.31207404089967,0.852499658904468,0.423117957573367,0.494428168316102,-5.32022583863829
"10988","AT3G50360","ATCEN2",-1.43539168205131,46.78783598081,-0.852324796405099,0.423208445317205,0.494444028199436,-5.32036056794199
"6041","AT2G21430",NA,-0.342760256538187,2.80166419254003,-0.85010295329908,0.424359420697446,0.495759417851875,-5.32207058864079
"11726","AT3G59570",NA,0.506610774422569,7.6990111195999,0.84974187613917,0.424546681708668,0.495948855734655,-5.32234815862823
"14133","AT4G29540","AtLpxA",0.131585173525086,2.06183048156464,0.849238879053429,0.424807644249618,0.496224363107265,-5.32273467261917
"3455","AT1G58025",NA,-1.41222348069794,26.6148878916514,-0.849071325924877,0.424894599041714,0.49629658878134,-5.32286338435715
"4730","AT1G75670",NA,-0.418045231900514,2.87313400800487,-0.848770634292246,0.425050680701039,0.496449544526005,-5.32309432120733
"6081","AT2G22090","UBA1A",-1.0561876842653,22.4912434558927,-0.848073914138632,0.425412489887396,0.496842753058745,-5.32362916936547
"9915","AT3G21640","ATFKBP42",1.02213382312779,17.3333308304603,0.847562985203543,0.425677958068012,0.497123404296512,-5.32402117339606
"1998","AT1G26130","ALA12",-0.467852420377254,8.25551503761168,-0.847053186489995,0.425942957930199,0.497403475464244,-5.32441212584577
"16670","AT5G20885",NA,-1.325784451508,17.6533788744927,-0.846953746911186,0.425994661734136,0.497414344589123,-5.32448836220333
"18366","AT5G51620",NA,-0.144311314584039,1.12429125834523,-0.846937482787154,0.426003118727352,0.497414344589123,-5.32450083059101
"18908","AT5G58530",NA,1.50304397348685,12.2103737091405,0.846890005026233,0.426027806829167,0.497414344589123,-5.32453722687484
"2180","AT1G28420","HB-1",-2.89868811517583,73.2481632569567,-0.846776137628498,0.426087021273681,0.497442652591425,-5.32462451070439
"2604","AT1G35250","ALT2",0.161273878907309,1.36592934027612,0.846743203819081,0.426104148942129,0.497442652591425,-5.32464975404725
"11309","AT3G54170","ATFIP37",1.44921616079503,21.289581926342,0.846698116882956,0.426127597810676,0.497442652591425,-5.32468431135834
"12849","AT4G13990",NA,-0.678547270877592,8.1462159241592,-0.846617257302625,0.426169653686745,0.497462349401876,-5.3247462833407
"18511","AT5G53530","VPS26A",-1.426411104338,20.302322743377,-0.846550121741821,0.426204573833559,0.497473714931939,-5.32479773350649
"1251","AT1G15440","ATPWP2",1.69637685130293,22.8898573415865,0.846418186940357,0.426273204906546,0.497500813258184,-5.32489883405327
"17793","AT5G44360","AtBBE23",-0.0913109087064977,0.216790556486819,-0.846408662697392,0.426278159623774,0.497500813258184,-5.32490613192389
"9396","AT3G15390","SDE5",0.467511545220933,5.49389929974153,0.845936476319701,0.426523853168909,0.497758149435731,-5.32526786003507
"714","AT1G09310",NA,-222.00461520229,1431.47605152783,-0.844364808287717,0.427342375883614,0.498683913823542,-5.32647072829101
"15976","AT5G12410",NA,-1.71025598929227,27.8788774248735,-0.844149851374696,0.427454412920363,0.498785189487203,-5.3266351080522
"10972","AT3G50130",NA,0.458438912563875,3.9553216451031,0.844067281946078,0.427497454293152,0.498805948736381,-5.32669824101103
"15395","AT5G05060",NA,-1.36764769826694,19.7779284958376,-0.844018385302512,0.427522944356084,0.498806227795764,-5.3267356253209
"11695","AT3G59150",NA,-0.716007475197854,4.80202862626159,-0.843882378155901,0.427593851302162,0.498859493185856,-5.32683960170431
"543","AT1G07360","MAC5A",4.87500333106223,59.6254897265643,0.843799131487573,0.427637255890275,0.498880668095228,-5.32690323663185
"2986","AT1G50630",NA,-3.23282398529817,28.6323101715887,-0.843640642335571,0.427719900459364,0.49894761507466,-5.32702437435244
"1526","AT1G18745",NA,-0.193099093295972,1.00981714296668,-0.843179404751081,0.427960479268077,0.499169302518989,-5.3273768095656
