NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0006511	GO:0006511		250	-0.3174267	-1.613468	0.0	0.12055848	1.0	6962	tags=44%, list=36%, signal=68%	
GO:0030659	GO:0030659		107	-0.3505419	-1.6097306	0.0	0.121920556	1.0	7183	tags=53%, list=37%, signal=84%	
GO:0019941	GO:0019941		253	-0.31134075	-1.6070644	0.0	0.1223514	1.0	6962	tags=44%, list=36%, signal=68%	
GO:0014070	GO:0014070		122	-0.3437132	-1.594818	0.003533569	0.13225318	1.0	3032	tags=32%, list=15%, signal=38%	
GO:0045324	GO:0045324		29	-0.46193865	-1.5944061	0.020408163	0.13068116	1.0	7183	tags=72%, list=37%, signal=114%	
GO:0031490	GO:0031490		18	-0.5261786	-1.5937543	0.0225	0.12943976	1.0	2895	tags=28%, list=15%, signal=33%	
GO:0015931	GO:0015931		61	-0.38834152	-1.5881932	0.014492754	0.1323741	1.0	3823	tags=28%, list=20%, signal=35%	
GO:0099023	GO:0099023		16	-0.51698726	-1.5854326	0.034398034	0.13325359	1.0	5492	tags=56%, list=28%, signal=78%	
GO:1905421	GO:1905421		16	-0.5388254	-1.5833532	0.04255319	0.13306767	1.0	4443	tags=50%, list=23%, signal=65%	
GO:0006892	GO:0006892		15	-0.5400046	-1.572861	0.030023094	0.1422499	1.0	4219	tags=40%, list=22%, signal=51%	
