NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0022613	GO:0022613		280	0.435027	2.0019517	0.0	0.001964994	0.085	6599	tags=50%, list=34%, signal=75%	
GO:0042440	GO:0042440		74	0.5124337	2.0006528	0.0	0.0019432671	0.086	4243	tags=50%, list=22%, signal=64%	
GO:0051667	GO:0051667		18	0.6885302	1.9859422	0.0	0.0024160752	0.108	4348	tags=67%, list=22%, signal=86%	
GO:0009902	GO:0009902		18	0.6885302	1.9821767	0.0	0.0025121274	0.112	4348	tags=67%, list=22%, signal=86%	
GO:0009654	GO:0009654		17	0.70808715	1.9813813	0.0	0.002480248	0.113	4079	tags=71%, list=21%, signal=89%	
GO:0002181	GO:0002181		68	0.5148526	1.9735368	0.0	0.0027703482	0.129	5812	tags=54%, list=30%, signal=77%	
GO:0042255	GO:0042255		34	0.59068424	1.9690918	0.0	0.0028724347	0.136	5945	tags=68%, list=30%, signal=97%	
GO:0000315	GO:0000315		26	0.62086594	1.9602808	0.0	0.003164701	0.15	6259	tags=69%, list=32%, signal=102%	
GO:0006091	GO:0006091		260	0.42373258	1.9548916	0.0	0.0032944558	0.158	5107	tags=45%, list=26%, signal=60%	
GO:0009706	GO:0009706		39	0.57240033	1.95482	0.0	0.0032322966	0.158	5598	tags=64%, list=29%, signal=90%	
GO:0051644	GO:0051644		19	0.6626136	1.943756	0.0	0.003957545	0.191	4348	tags=63%, list=22%, signal=81%	
GO:0009127	GO:0009127		26	0.6073867	1.9436296	0.0	0.0038855895	0.191	6213	tags=73%, list=32%, signal=107%	
GO:0016116	GO:0016116		16	0.6872908	1.9342084	0.0	0.004379207	0.214	2591	tags=56%, list=13%, signal=65%	
GO:0004252	GO:0004252		56	0.51519674	1.9287722	0.0	0.0045789517	0.227	2910	tags=41%, list=15%, signal=48%	
GO:0006364	GO:0006364		169	0.4407844	1.9278619	0.0	0.0045510563	0.229	6566	tags=52%, list=34%, signal=78%	
GO:0019750	GO:0019750		18	0.6885302	1.9228067	0.0	0.0049558054	0.251	4348	tags=67%, list=22%, signal=86%	
GO:0033014	GO:0033014		32	0.57914853	1.922619	0.0	0.004906359	0.253	4216	tags=56%, list=22%, signal=72%	
GO:0016108	GO:0016108		16	0.6872908	1.916675	0.0017825312	0.00531084	0.275	2591	tags=56%, list=13%, signal=65%	
GO:0009767	GO:0009767		22	0.64063936	1.9124583	0.0	0.005571839	0.291	3848	tags=73%, list=20%, signal=90%	
GO:0005871	GO:0005871		19	0.6570134	1.9074339	0.0	0.005715081	0.299	4237	tags=68%, list=22%, signal=87%	
GO:0022900	GO:0022900		86	0.4763857	1.9038082	0.0	0.0059940442	0.316	4586	tags=42%, list=23%, signal=54%	
GO:0016072	GO:0016072		174	0.43191895	1.9011528	0.0	0.0061294846	0.327	6566	tags=52%, list=34%, signal=77%	
GO:0009168	GO:0009168		26	0.6073867	1.8948077	0.0	0.0066811894	0.353	6213	tags=73%, list=32%, signal=107%	
GO:0015995	GO:0015995		27	0.59342855	1.892346	0.0016501651	0.0068609454	0.364	1898	tags=44%, list=10%, signal=49%	
GO:0042274	GO:0042274		58	0.504643	1.8910755	0.0	0.0068468843	0.368	6305	tags=53%, list=32%, signal=79%	
GO:0000028	GO:0000028		17	0.68550575	1.8869791	0.0	0.0072172964	0.389	4712	tags=71%, list=24%, signal=93%	
GO:0044770	GO:0044770		58	0.5081262	1.8858099	0.0	0.007184074	0.392	5853	tags=59%, list=30%, signal=83%	
GO:0009903	GO:0009903		16	0.6671669	1.8828257	0.0016806723	0.0074859713	0.406	4348	tags=63%, list=22%, signal=80%	
GO:0000302	GO:0000302		46	0.53354794	1.8799872	0.0	0.007655404	0.421	3714	tags=48%, list=19%, signal=59%	
GO:0008017	GO:0008017		93	0.46195066	1.8721656	0.0	0.008386156	0.459	5033	tags=51%, list=26%, signal=68%	
GO:0009904	GO:0009904		15	0.69568926	1.8686411	0.0	0.0086985715	0.479	4348	tags=67%, list=22%, signal=86%	
GO:0006779	GO:0006779		31	0.56986713	1.8666866	0.0034542314	0.0088184	0.491	4216	tags=55%, list=22%, signal=70%	
GO:0009152	GO:0009152		76	0.47367674	1.8644363	0.0	0.008962224	0.502	5901	tags=53%, list=30%, signal=75%	
GO:0044772	GO:0044772		53	0.5042788	1.8555746	0.0	0.010022744	0.542	5853	tags=58%, list=30%, signal=83%	
GO:0006766	GO:0006766		56	0.49591818	1.8533202	0.0	0.010121627	0.551	3437	tags=38%, list=18%, signal=45%	
GO:0043039	GO:0043039		39	0.5333601	1.8529605	0.0016	0.009993506	0.551	4014	tags=49%, list=20%, signal=61%	
GO:0016679	GO:0016679		21	0.62136215	1.8488094	0.0033840947	0.010485267	0.575	2988	tags=48%, list=15%, signal=56%	
GO:0000313	GO:0000313		38	0.54455036	1.846402	0.0	0.010695525	0.584	6285	tags=66%, list=32%, signal=97%	
GO:0005875	GO:0005875		44	0.5241656	1.8453052	0.001497006	0.010685788	0.59	4237	tags=45%, list=22%, signal=58%	
GO:0016853	GO:0016853		154	0.42355433	1.8439298	0.0	0.01075877	0.596	5067	tags=42%, list=26%, signal=56%	
GO:0015994	GO:0015994		38	0.5444286	1.8385966	0.0	0.011414706	0.625	2663	tags=45%, list=14%, signal=52%	
