"","id","name","p_val","log_fold_change","sig_rank"
"4010","AT2G41430","CID1",0.000493848466232217,-255.554927494151,-10.9836439501937
"4012","AT5G05460","AtENGase85A",0.000494119108603451,-10.6220790178142,-10.9828535306971
"4013","AT1G55120","AtcwINV3",0.000494342816032685,-4.35934304222015,-10.9822005129202
"4016","AT2G22200","ERF056",0.000494999624658644,-5.88787526698885,-10.9802849483033
"4017","AT3G05200","ATL6",0.000495508674749034,-11.628537124975,-10.9788020650078
"4019","AT4G01870",NA,0.00049707602300803,-44.9841152058094,-10.9742458645242
"4021","AT1G07990",NA,0.000498817338339261,-19.4159484908636,-10.9692007670255
"4022","AT1G65980","TPX1",0.000498817338339261,-35.646694972238,-10.9692007670255
"4023","AT5G57110","ACA8",0.000498907135922234,-68.3187387428113,-10.9689410750338
"4024","AT4G36670","AtPLT6",0.000499353087222658,-15.0207303151405,-10.9676520889408
"4025","AT1G11210",NA,0.000499603516603264,-3.37496764569568,-10.9669287477432
"4026","AT3G09162",NA,0.000500556710452774,-4.21076667419104,-10.9641788514389
"4027","AT5G12210","AtRGTB1",0.000500808296870468,-15.2305685500705,-10.9634539160115
"4028","AT1G26800","MPSR1",0.000501524616180894,-13.5277765431963,-10.9613918656102
"4032","AT1G27210",NA,0.000503696562649534,-57.5794034300887,-10.9551574938291
"4034","AT1G70530","CRK3",0.000506917146849946,-15.9878868296043,-10.9459624145627
"4035","AT2G03890","ATPI4K",0.000507009582519346,-62.1068231919194,-10.9456993650181
"4037","AT3G52710",NA,0.000507848156669013,-8.5372161001157,-10.9433151746123
"4040","AT5G57340",NA,0.000508618487982129,-7.05092196936972,-10.9411284754543
"4043","AT1G56710","PGL1",0.000510795051470617,-1.39653715714959,-10.9349678311208
"4048","AT5G20700",NA,0.000512675035923792,-75.2709183791621,-10.929667730353
"4049","AT1G76500","AHL29",0.000512862894300139,-7.0410469649686,-10.9291391836401
"4052","AT1G17450",NA,0.00051381266331873,-13.6457444165316,-10.9264699325143
"4054","AT2G42890","AML2",0.00051381266331873,-34.9663172695366,-10.9264699325143
