"","id","name","p_val","log_fold_change","sig_rank"
"6165","AT2G18210",NA,0.00225511582165707,-1.2729326817376,-8.79258275315959
"6167","AT3G60260",NA,0.00225617913912146,-9.9260093202738,-8.7919026633519
"6168","AT1G15530","LecRK-S.1",0.00225623835455314,-9.09253052967607,-8.79186479903205
"6169","AT4G11670",NA,0.00225623835455314,-8.86229351881774,-8.79186479903205
"6170","AT5G04250",NA,0.00225623835455314,-3.1601221500298,-8.79186479903205
"6171","AT5G18090",NA,0.00225623835455314,-0.68137662491431,-8.79186479903205
"6173","AT2G37200","CASPL5A1",0.00225749829031515,-5.19160696488204,-8.79105938956051
"6174","AT5G59000",NA,0.00225749829031515,-2.49578305202005,-8.79105938956051
"6175","AT2G42920","PCMP-E75",0.00226126877424222,-6.36997711147807,-8.78865180375312
"6176","AT3G11370",NA,0.00226126877424222,-0.70572512982596,-8.78865180375312
"6177","AT1G13990",NA,0.00226201434676598,-3.53465745046138,-8.78817620505031
"6179","AT1G50740","FAX5",0.00226645461539804,-3.59025572604234,-8.78534701238403
"6185","AT4G34020","AtDJ1C",0.00227187968470496,-10.8031700209342,-8.78189785073306
"6186","AT1G06980",NA,0.00227415395017847,-6.44248278850617,-8.78045436304356
"6187","AT3G59750","LecRK-V.8",0.00227707594431102,-0.875662718048998,-8.77860187608004
"6190","AT1G67500","ATREV3",0.00228344607944447,-8.33227723224054,-8.77457156187664
"6192","AT1G02930","ATGST1",0.00228766522913934,-6.59814850775947,-8.77190833726485
"6194","AT1G74380","XXT5",0.00228779038310758,-19.2976234758932,-8.77182941222451
"6195","AT3G22240","AthCYSTM9",0.00228793206533174,-11.3957063609145,-8.77174006928707
"6198","AT3G49220","PME34",0.00229066382680063,-119.365973687547,-8.77001853749673
"6199","AT4G11240","TOPP7",0.00229459467949221,-24.1317483400415,-8.76754494824714
"6200","AT5G32440",NA,0.00229459467949221,-24.0005468718411,-8.76754494824714
"6202","AT2G36670",NA,0.00229728532058573,-4.53064918903064,-8.76585423550786
"6204","AT1G10095",NA,0.00229982756552469,-1.79958973187964,-8.76425858857427
"6205","AT3G47550",NA,0.00229982756552469,-9.20649554925047,-8.76425858857427
"6206","AT5G03240","UBQ3",0.00229982756552469,-317.772019577848,-8.76425858857427
"6208","AT2G19460",NA,0.00230452942476141,-5.05715864700805,-8.76131209620803
"6213","AT1G27000",NA,0.00231185493929352,-13.8770637822855,-8.75673340798589
"6216","AT2G23200",NA,0.00231950464812569,-2.75008870011576,-8.75196754741111
"6217","AT5G56180","ARP8",0.00231950464812569,-7.76446317120191,-8.75196754741111
"6221","AT3G60965",NA,0.00232750675028018,-4.53301537819032,-8.74699893273984
"6223","AT3G18100","AtMYB4R1",0.00232788583242343,-2.69749615248227,-8.74676397943798
"6225","AT2G21240","ATBPC4",0.00233189622399141,-11.0102140447147,-8.74428069872416
"6226","AT1G03410","2A6",0.00233201807222151,-8.3331409844589,-8.74420531576205
"6228","AT1G11270",NA,0.00233752372692253,-1.80485989917242,-8.74080327558064
"6230","AT5G55860","TREPH1",0.00233855459223925,-11.0368893256875,-8.7401671766093
"6231","AT3G12040","MAG",0.00234067333480801,-1.94059974159875,-8.73886067918989
"6232","AT4G13830","DJC26",0.00234067333480801,-17.2226969703222,-8.73886067918989
"6233","AT1G67300",NA,0.00234083940645609,-6.85249255989137,-8.7387583230685
"6234","AT2G26070","AtRTE1",0.00234363956717585,-6.06044911796287,-8.73703357267983
"6235","AT3G06500","A/N-InvC",0.00234743242228374,-11.1957638724181,-8.73470065838663
"6236","AT4G28830",NA,0.00234743242228374,-2.86972122115675,-8.73470065838663
"6237","AT3G27200",NA,0.00234836942144851,-6.05228511621464,-8.73412490833957
"6239","AT1G65970","TPX2",0.00235294179220151,-32.9519232561137,-8.73131865349253
"6240","AT3G60650",NA,0.00235303065749608,-0.941762892236558,-8.73126416718979
"6245","AT3G02810","LIP2",0.00236174329193476,-0.850300185881027,-8.72593212415204
"6246","AT1G30230","eEF-1Bb1",0.00236337863625315,-94.4023835010908,-8.72493350305047
"6248","AT5G50000","CBC2",0.00236554007427224,-14.5365078280615,-8.72361468311747
"6249","AT2G21440",NA,0.00236646559137037,-13.587253336566,-8.72305033935328
"6251","AT1G19430",NA,0.00237097694237441,-8.65358697827868,-8.72030265190705
"6253","AT1G08800","MyoB1",0.00237362692639685,-24.6992124980473,-8.71869108672231
"6258","AT3G32980","PER32",0.00238529623960802,-94.4083883855014,-8.71161583315957
